	          		     		        		   	     	Horn  	 Num	  Nus per	  Nus per	POT per	  Horn	  Beam	  Tank	 IRM	 RWM
	Start time		Start		End time		End	 POT 	Pulses	 Nus	    POT  	  Pulse		 Pulse 	  Rate	   Up 	  Down	 Down	 Down
	          		 Run 		        		Run	(E20)	(M)   	   	  (k/E20)	  (k/M)		(1/E12)	  (Hz)	  (%)	  (%)	 (%)	 (%)
=====================================================================================================================================================================================
10/27/2002 21:03:32 UTC		2356	11/03/2002 16:21:08 UTC		2411	0.008	0.216	1751	178.5 ( 4.7)	6.63 (0.19)	 3.70	  0.72	  51.3	  1.0	 40.9	 35.4
11/03/2002 16:22:03 UTC		2412	11/10/2002 21:56:10 UTC		2485	0.0082	0.137	1847	130.5 ( 4.0)	4.93 (0.31)	 3.94	  0.54	  40.6	  0.9	 45.7	 44.0
11/10/2002 21:57:12 UTC		2486	11/17/2002 22:41:53 UTC		2553	0.0171	0.391	2129	124.8 ( 2.7)	4.40 (0.12)	 3.69	  0.75	  85.7	  1.1	  5.3	  5.2
11/17/2002 22:42:37 UTC		2554	11/24/2002 22:14:12 UTC		2687	0.0139	0.392	1657	118.1 ( 2.9)	4.23 (0.10)	 3.53	  0.92	  70.2	 11.8	 10.8	 17.7
11/24/2002 22:15:00 UTC		2688	12/01/2002 21:49:28 UTC		2753	0.0131	0.352	2747	119.5 ( 3.0)	4.45 (0.15)	 3.71	  1.14	  51.2	  1.1	 46.1	  2.6
12/01/2002 21:50:16 UTC		2754	12/08/2002 21:57:33 UTC		2824	0.0255	0.689	2992	116.7 ( 2.1)	4.32 (0.08)	 3.70	  1.46	  78.2	  3.0	 13.8	 13.5
12/08/2002 21:59:00 UTC		2825	12/15/2002 23:41:16 UTC		2925	0.0252	0.681	2716	106.3 ( 2.1)	3.95 (0.08)	 3.71	  1.40	  79.7	  1.9	 14.0	 14.0
12/15/2002 23:43:24 UTC		2926	12/22/2002 23:39:45 UTC		2994	0.0195	0.549	2079	114.0 ( 2.5)	4.05 (0.08)	 3.56	  1.19	  76.1	  3.8	 13.3	 13.3
12/22/2002 23:40:31 UTC		2995	12/29/2002 23:54:00 UTC		3052	0.0223	0.58	2354	105.2 ( 2.2)	4.05 (0.08)	 3.85	  1.05	  91.3	  1.5	  2.9	  2.9
12/29/2002 23:55:57 UTC		3053	01/05/2003 23:48:41 UTC		3123	0.0222	0.579	2401	106.7 ( 2.2)	4.11 (0.08)	 3.84	  1.04	  92.4	  1.7	  0.9	  0.9
01/05/2003 23:49:28 UTC		3124	01/13/2003 00:00:00 UTC		3457	0.0175	0.468	1771	103.5 ( 2.5)	3.90 (0.09)	 3.76	  1.09	  70.7	  8.7	 24.5	 24.5
01/24/2003 19:01:38 UTC		3458	01/20/2003 00:00:00 UTC		3457	0	0	   0	  0.0 ( 0.0)	0.00 (0.00)	 0.00	  0.00	   0.0	100.0	100.0	100.0
01/24/2003 19:01:38 UTC		3458	01/27/2003 00:00:00 UTC		3474	0	0	   0	  0.0 ( 0.0)	0.00 (0.00)	 0.00	  0.00	   0.0	 74.3	100.0	100.0
01/28/2003 16:48:55 UTC		3475	02/03/2003 00:00:00 UTC		3532	0	0	   2	  0.0 ( 0.0)	0.00 (0.00)	 0.00	  0.00	   0.0	 37.0	 25.2	 25.2
02/03/2003 00:58:43 UTC		3533	02/09/2003 22:20:05 UTC		3636	0.0116	0.451	1210	106.4 ( 3.1)	2.72 (0.08)	 2.54	  1.31	  57.6	 11.6	 10.8	 10.8
02/09/2003 23:06:27 UTC		3637	02/16/2003 22:38:18 UTC		3716	0.0227	1.008	2387	105.2 ( 2.2)	2.37 (0.05)	 2.25	  2.06	  81.0	  2.4	 12.8	 12.8
02/16/2003 22:38:53 UTC		3717	02/23/2003 22:53:58 UTC		3804	0.041	1.244	4141	100.9 ( 1.6)	3.33 (0.05)	 3.30	  2.30	  89.4	  3.3	  0.3	  0.3
02/23/2003 22:55:29 UTC		3805	03/02/2003 23:18:48 UTC		3872	0.038	1.181	4042	106.4 ( 1.7)	3.42 (0.05)	 3.22	  2.50	  77.9	  1.8	  0.0	  0.0
03/02/2003 23:21:00 UTC		3873	03/09/2003 23:35:15 UTC		3952	0.0285	0.911	3087	108.9 ( 2.0)	3.39 (0.06)	 3.08	  2.11	  71.2	  1.1	  0.0	  0.0
03/09/2003 23:37:07 UTC		3953	03/16/2003 23:04:09 UTC		4050	0.0412	1.278	4393	106.1 ( 1.6)	3.42 (0.05)	 3.23	  2.45	  86.4	  2.1	  0.0	  0.0
03/16/2003 23:07:30 UTC		4051	03/23/2003 21:14:20 UTC		4135	0.0468	1.444	4928	105.3 ( 1.5)	3.42 (0.05)	 3.24	  2.65	  91.3	  1.5	  0.0	  0.0
03/23/2003 21:15:25 UTC		4136	03/30/2003 20:00:39 UTC		4219	0.0466	1.435	4997	107.4 ( 1.5)	3.49 (0.05)	 3.25	  3.05	  78.5	  5.5	  0.0	  0.0
03/30/2003 20:03:09 UTC		4220	04/06/2003 21:52:24 UTC		4295	0.0517	1.381	5658	109.7 ( 1.5)	4.10 (0.05)	 3.74	  2.69	  83.9	  1.3	  0.0	  0.0
04/06/2003 21:53:43 UTC		4296	04/13/2003 23:02:45 UTC		4381	0.0458	1.245	4742	103.8 ( 1.5)	3.81 (0.06)	 3.67	  2.69	  76.0	  2.8	  0.0	  0.0
04/13/2003 23:03:34 UTC		4382	04/20/2003 18:13:53 UTC		4415	0.0514	1.405	5544	108.0 ( 1.4)	3.95 (0.05)	 3.66	  2.73	  87.7	  1.1	  0.0	  0.0
04/20/2003 18:18:17 UTC		4416	04/27/2003 23:21:59 UTC		4593	0.052	1.321	5291	102.1 ( 1.4)	4.02 (0.06)	 3.94	  2.76	  76.8	  3.7	  0.0	  0.0
