# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
0.0 1000 0.008 0.548 0.011 0.325 0.002015 0.001976 0.001995 6.424e+04 2.267e+04 4.346e+04 1.58 -0.6068 0.4868 4.009e+05
100.0 1000 0.008 0.546 0.011 0.326 0.002015 0.001976 0.001995 6.391e+04 2.28e+04 4.335e+04 1.735 -0.6697 0.5324 4.009e+05
200.0 1000 0.008 0.545 0.011 0.327 0.002015 0.001976 0.001995 6.355e+04 2.294e+04 4.324e+04 1.887 -0.7333 0.5768 4.009e+05
300.0 1000 0.008 0.543 0.011 0.328 0.002015 0.001976 0.001995 6.315e+04 2.31e+04 4.312e+04 2.038 -0.7976 0.62 4.009e+05
400.0 1000 0.008 0.541 0.011 0.330 0.002015 0.001976 0.001995 6.273e+04 2.326e+04 4.3e+04 2.186 -0.8627 0.6617 4.009e+05
500.0 1000 0.008 0.539 0.012 0.331 0.002015 0.001976 0.001995 6.228e+04 2.344e+04 4.286e+04 2.332 -0.9286 0.7018 4.009e+05
600.0 1000 0.008 0.537 0.012 0.332 0.002015 0.001976 0.001995 6.18e+04 2.363e+04 4.272e+04 2.476 -0.9955 0.7404 4.009e+05
700.0 1000 0.008 0.535 0.012 0.334 0.002015 0.001976 0.001995 6.129e+04 2.384e+04 4.256e+04 2.618 -1.063 0.7772 4.009e+05
800.0 1000 0.007 0.533 0.012 0.335 0.002015 0.001976 0.001995 6.075e+04 2.406e+04 4.24e+04 2.757 -1.132 0.8122 4.009e+05
900.0 1000 0.007 0.530 0.012 0.337 0.002015 0.001976 0.001995 6.019e+04 2.429e+04 4.224e+04 2.893 -1.202 0.8452 4.009e+05
1000.0 1000 0.007 0.527 0.012 0.338 0.002015 0.001976 0.001995 5.959e+04 2.454e+04 4.207e+04 3.003 -1.264 0.8695 4.009e+05
1100.0 1000 0.007 0.525 0.012 0.340 0.002015 0.001976 0.001995 5.899e+04 2.479e+04 4.189e+04 3.008 -1.284 0.862 4.009e+05
1200.0 1000 0.007 0.522 0.012 0.342 0.002015 0.001976 0.001995 5.839e+04 2.505e+04 4.172e+04 2.992 -1.295 0.8485 4.009e+05
1300.0 1000 0.007 0.519 0.012 0.344 0.002015 0.001976 0.001995 5.78e+04 2.531e+04 4.155e+04 2.975 -1.305 0.8346 4.009e+05
1400.0 1000 0.007 0.517 0.012 0.346 0.002015 0.001976 0.001995 5.72e+04 2.557e+04 4.139e+04 2.958 -1.316 0.8208 4.009e+05
1500.0 1000 0.007 0.514 0.012 0.347 0.002015 0.001976 0.001995 5.661e+04 2.584e+04 4.123e+04 2.941 -1.327 0.8069 4.009e+05
1600.0 1000 0.007 0.511 0.012 0.349 0.002015 0.001976 0.001995 5.603e+04 2.611e+04 4.107e+04 2.923 -1.337 0.7931 4.009e+05
1700.0 1000 0.007 0.509 0.012 0.351 0.002015 0.001976 0.001995 5.544e+04 2.637e+04 4.091e+04 2.906 -1.348 0.7793 4.009e+05
1800.0 1000 0.007 0.506 0.012 0.353 0.002015 0.001976 0.001995 5.486e+04 2.664e+04 4.075e+04 2.889 -1.358 0.7654 4.009e+05
1900.0 1000 0.007 0.503 0.012 0.354 0.002015 0.001976 0.001995 5.429e+04 2.692e+04 4.06e+04 2.872 -1.369 0.7516 4.009e+05
2000.0 1000 0.007 0.501 0.013 0.356 0.002015 0.001976 0.001995 5.372e+04 2.719e+04 4.045e+04 2.855 -1.38 0.7377 4.009e+05
2100.0 1000 0.007 0.498 0.013 0.358 0.002015 0.001976 0.001995 5.315e+04 2.747e+04 4.031e+04 2.838 -1.39 0.7239 4.009e+05
2200.0 1000 0.007 0.495 0.013 0.360 0.002015 0.001976 0.001995 5.258e+04 2.775e+04 4.016e+04 2.821 -1.401 0.71 4.009e+05
2300.0 1000 0.007 0.493 0.013 0.362 0.002015 0.001976 0.001995 5.202e+04 2.803e+04 4.002e+04 2.804 -1.412 0.6962 4.009e+05
2400.0 1000 0.006 0.490 0.013 0.364 0.002015 0.001976 0.001995 5.146e+04 2.831e+04 3.989e+04 2.787 -1.422 0.6824 4.009e+05
2500.0 1000 0.006 0.487 0.013 0.365 0.002015 0.001976 0.001995 5.09e+04 2.86e+04 3.975e+04 2.77 -1.433 0.6685 4.009e+05
2600.0 1000 0.006 0.485 0.013 0.367 0.002015 0.001976 0.001995 5.035e+04 2.889e+04 3.962e+04 2.753 -1.443 0.6547 4.009e+05
2700.0 1000 0.006 0.482 0.013 0.369 0.002015 0.001976 0.001995 4.98e+04 2.918e+04 3.949e+04 2.736 -1.454 0.6408 4.009e+05
2800.0 1000 0.006 0.479 0.013 0.371 0.002015 0.001976 0.001995 4.926e+04 2.947e+04 3.936e+04 2.719 -1.465 0.627 4.009e+05
2900.0 1000 0.006 0.477 0.013 0.373 0.002015 0.001976 0.001995 4.871e+04 2.976e+04 3.924e+04 2.701 -1.475 0.6131 4.009e+05
3000.0 1000 0.006 0.474 0.013 0.375 0.002015 0.001976 0.001995 4.818e+04 3.006e+04 3.912e+04 2.684 -1.486 0.5993 4.009e+05
3100.0 1000 0.006 0.472 0.013 0.376 0.002015 0.001976 0.001995 4.764e+04 3.036e+04 3.9e+04 2.667 -1.496 0.5855 4.009e+05
3200.0 1000 0.006 0.469 0.013 0.378 0.002015 0.001976 0.001995 4.711e+04 3.066e+04 3.888e+04 2.65 -1.507 0.5716 4.009e+05
3300.0 1000 0.006 0.466 0.013 0.380 0.002015 0.001976 0.001995 4.658e+04 3.096e+04 3.877e+04 2.633 -1.518 0.5578 4.009e+05
3400.0 1000 0.006 0.464 0.014 0.382 0.002015 0.001976 0.001995 4.606e+04 3.126e+04 3.866e+04 2.616 -1.528 0.5439 4.009e+05
3500.0 1000 0.006 0.461 0.014 0.384 0.002015 0.001976 0.001995 4.553e+04 3.157e+04 3.855e+04 2.599 -1.539 0.5301 4.009e+05
3600.0 1000 0.006 0.458 0.014 0.386 0.002015 0.001976 0.001995 4.502e+04 3.188e+04 3.845e+04 2.582 -1.549 0.5162 4.009e+05
3700.0 1000 0.006 0.456 0.014 0.388 0.002015 0.001976 0.001995 4.45e+04 3.219e+04 3.835e+04 2.565 -1.56 0.5024 4.009e+05
3800.0 1000 0.006 0.453 0.014 0.389 0.002015 0.001976 0.001995 4.399e+04 3.25e+04 3.825e+04 2.548 -1.571 0.4886 4.009e+05
3900.0 1000 0.006 0.451 0.014 0.391 0.002015 0.001976 0.001995 4.348e+04 3.282e+04 3.815e+04 2.531 -1.581 0.4747 4.009e+05
4000.0 1000 0.005 0.448 0.014 0.393 0.002015 0.001976 0.001995 4.298e+04 3.314e+04 3.806e+04 2.514 -1.592 0.4609 4.009e+05
4100.0 1000 0.005 0.445 0.014 0.395 0.002015 0.001976 0.001995 4.248e+04 3.345e+04 3.797e+04 2.497 -1.602 0.447 4.009e+05
4200.0 1000 0.005 0.443 0.014 0.397 0.002015 0.001976 0.001995 4.198e+04 3.378e+04 3.788e+04 2.479 -1.613 0.4332 4.009e+05
4300.0 1000 0.005 0.440 0.014 0.399 0.002015 0.001976 0.001995 4.148e+04 3.41e+04 3.779e+04 2.462 -1.624 0.4193 4.009e+05
4400.0 1000 0.005 0.437 0.014 0.401 0.002015 0.001976 0.001995 4.099e+04 3.443e+04 3.771e+04 2.445 -1.634 0.4055 4.009e+05
4500.0 1000 0.005 0.435 0.014 0.403 0.002015 0.001976 0.001995 4.051e+04 3.475e+04 3.763e+04 2.428 -1.645 0.3917 4.009e+05
4600.0 1000 0.005 0.432 0.014 0.405 0.002015 0.001976 0.001995 4.002e+04 3.508e+04 3.755e+04 2.411 -1.656 0.3778 4.009e+05
4700.0 1000 0.005 0.430 0.014 0.407 0.002015 0.001976 0.001995 3.954e+04 3.542e+04 3.748e+04 2.394 -1.666 0.364 4.009e+05
4800.0 1000 0.005 0.427 0.015 0.408 0.002015 0.001976 0.001995 3.906e+04 3.575e+04 3.741e+04 2.377 -1.677 0.3501 4.009e+05
4900.0 1000 0.005 0.424 0.015 0.410 0.002015 0.001976 0.001995 3.859e+04 3.609e+04 3.734e+04 2.36 -1.687 0.3363 4.009e+05
5000.0 1000 0.005 0.422 0.015 0.412 0.002015 0.001976 0.001995 3.812e+04 3.643e+04 3.727e+04 2.343 -1.698 0.3225 4.009e+05
5100.0 1000 0.005 0.419 0.015 0.414 0.002015 0.001976 0.001995 3.765e+04 3.677e+04 3.721e+04 2.326 -1.709 0.3086 4.009e+05
5200.0 1000 0.005 0.417 0.015 0.416 0.002015 0.001976 0.001995 3.719e+04 3.711e+04 3.715e+04 2.309 -1.719 0.2948 4.009e+05
5300.0 1000 0.005 0.414 0.015 0.418 0.002015 0.001976 0.001995 3.673e+04 3.745e+04 3.709e+04 2.292 -1.73 0.2809 4.009e+05
5400.0 1000 0.005 0.411 0.015 0.420 0.002015 0.001976 0.001995 3.627e+04 3.78e+04 3.704e+04 2.275 -1.74 0.2671 4.009e+05
5500.0 1000 0.005 0.409 0.015 0.422 0.002015 0.001976 0.001995 3.582e+04 3.815e+04 3.699e+04 2.258 -1.751 0.2532 4.009e+05
5600.0 1000 0.005 0.406 0.015 0.424 0.002015 0.001976 0.001995 3.537e+04 3.85e+04 3.694e+04 2.24 -1.762 0.2394 4.009e+05
5700.0 1000 0.004 0.404 0.015 0.426 0.002015 0.001976 0.001995 3.492e+04 3.885e+04 3.689e+04 2.223 -1.772 0.2256 4.009e+05
5800.0 1000 0.004 0.401 0.015 0.428 0.002015 0.001976 0.001995 3.448e+04 3.921e+04 3.685e+04 2.206 -1.783 0.2117 4.009e+05
5900.0 1000 0.004 0.399 0.015 0.430 0.002015 0.001976 0.001995 3.404e+04 3.957e+04 3.68e+04 2.189 -1.793 0.1979 4.009e+05
6000.0 1000 0.004 0.396 0.015 0.432 0.002015 0.001976 0.001995 3.361e+04 3.993e+04 3.677e+04 2.172 -1.804 0.184 4.009e+05
6100.0 1000 0.004 0.393 0.015 0.434 0.002015 0.001976 0.001995 3.317e+04 4.029e+04 3.673e+04 2.155 -1.815 0.1702 4.009e+05
6200.0 1000 0.004 0.391 0.016 0.436 0.002015 0.001976 0.001995 3.274e+04 4.065e+04 3.67e+04 2.138 -1.825 0.1563 4.009e+05
6300.0 1000 0.004 0.388 0.016 0.438 0.002015 0.001976 0.001995 3.232e+04 4.102e+04 3.667e+04 2.121 -1.836 0.1425 4.009e+05
6400.0 1000 0.004 0.386 0.016 0.440 0.002015 0.001976 0.001995 3.19e+04 4.139e+04 3.664e+04 2.104 -1.847 0.1287 4.009e+05
6500.0 1000 0.004 0.383 0.016 0.441 0.002015 0.001976 0.001995 3.148e+04 4.176e+04 3.662e+04 2.087 -1.857 0.1148 4.009e+05
