# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
0.0 1000 0.010 0.664 0.012 0.343 0.002016 0.001974 0.001994 9.456e+04 2.516e+04 5.986e+04 0.003258 -0.009516 -0.003129 4.009e+05
100.0 1000 0.010 0.664 0.012 0.343 0.002016 0.001974 0.001994 9.454e+04 2.517e+04 5.985e+04 0.1752 -0.05947 0.05788 4.009e+05
200.0 1000 0.010 0.664 0.012 0.343 0.002016 0.001974 0.001994 9.449e+04 2.518e+04 5.984e+04 0.3471 -0.1095 0.1188 4.009e+05
300.0 1000 0.010 0.664 0.012 0.343 0.002016 0.001974 0.001994 9.44e+04 2.521e+04 5.981e+04 0.5187 -0.1596 0.1796 4.009e+05
400.0 1000 0.010 0.663 0.012 0.343 0.002016 0.001974 0.001994 9.428e+04 2.525e+04 5.976e+04 0.6899 -0.2098 0.2401 4.009e+05
500.0 1000 0.010 0.663 0.012 0.344 0.002016 0.001974 0.001994 9.413e+04 2.529e+04 5.971e+04 0.8606 -0.2601 0.3002 4.009e+05
600.0 1000 0.010 0.662 0.012 0.344 0.002016 0.001974 0.001994 9.394e+04 2.535e+04 5.964e+04 1.031 -0.3106 0.36 4.009e+05
700.0 1000 0.010 0.661 0.012 0.344 0.002016 0.001974 0.001994 9.371e+04 2.542e+04 5.957e+04 1.2 -0.3614 0.4193 4.009e+05
800.0 1000 0.010 0.660 0.012 0.345 0.002016 0.001974 0.001994 9.346e+04 2.55e+04 5.948e+04 1.368 -0.4125 0.478 4.009e+05
900.0 1000 0.010 0.659 0.012 0.346 0.002016 0.001974 0.001994 9.317e+04 2.558e+04 5.938e+04 1.536 -0.4638 0.536 4.009e+05
1000.0 1000 0.010 0.658 0.012 0.346 0.002016 0.001974 0.001994 9.284e+04 2.568e+04 5.926e+04 1.702 -0.5154 0.5933 4.009e+05
1100.0 1000 0.009 0.657 0.012 0.347 0.002016 0.001974 0.001994 9.249e+04 2.579e+04 5.914e+04 1.801 -0.549 0.626 4.009e+05
1200.0 1000 0.009 0.656 0.012 0.348 0.002016 0.001974 0.001994 9.213e+04 2.59e+04 5.901e+04 1.806 -0.5567 0.6246 4.009e+05
1300.0 1000 0.009 0.654 0.012 0.348 0.002016 0.001974 0.001994 9.177e+04 2.601e+04 5.889e+04 1.802 -0.5618 0.6199 4.009e+05
1400.0 1000 0.009 0.653 0.012 0.349 0.002016 0.001974 0.001994 9.141e+04 2.613e+04 5.877e+04 1.797 -0.5667 0.6151 4.009e+05
1500.0 1000 0.009 0.652 0.012 0.350 0.002016 0.001974 0.001994 9.105e+04 2.624e+04 5.864e+04 1.792 -0.5717 0.6103 4.009e+05
1600.0 1000 0.009 0.651 0.012 0.351 0.002016 0.001974 0.001994 9.069e+04 2.635e+04 5.852e+04 1.788 -0.5767 0.6054 4.009e+05
1700.0 1000 0.009 0.649 0.012 0.351 0.002016 0.001974 0.001994 9.033e+04 2.647e+04 5.84e+04 1.783 -0.5817 0.6006 4.009e+05
1800.0 1000 0.009 0.648 0.012 0.352 0.002016 0.001974 0.001994 8.998e+04 2.659e+04 5.828e+04 1.778 -0.5867 0.5958 4.009e+05
1900.0 1000 0.009 0.647 0.012 0.353 0.002016 0.001974 0.001994 8.962e+04 2.67e+04 5.816e+04 1.774 -0.5916 0.591 4.009e+05
2000.0 1000 0.009 0.645 0.012 0.354 0.002016 0.001974 0.001994 8.927e+04 2.682e+04 5.804e+04 1.769 -0.5966 0.5862 4.009e+05
2100.0 1000 0.009 0.644 0.012 0.355 0.002016 0.001974 0.001994 8.891e+04 2.694e+04 5.793e+04 1.764 -0.6016 0.5814 4.009e+05
2200.0 1000 0.009 0.643 0.012 0.355 0.002016 0.001974 0.001994 8.856e+04 2.706e+04 5.781e+04 1.76 -0.6066 0.5766 4.009e+05
2300.0 1000 0.009 0.642 0.012 0.356 0.002016 0.001974 0.001994 8.821e+04 2.719e+04 5.77e+04 1.755 -0.6116 0.5717 4.009e+05
2400.0 1000 0.009 0.640 0.013 0.357 0.002016 0.001974 0.001994 8.786e+04 2.731e+04 5.758e+04 1.75 -0.6165 0.5669 4.009e+05
2500.0 1000 0.009 0.639 0.013 0.358 0.002016 0.001974 0.001994 8.751e+04 2.743e+04 5.747e+04 1.746 -0.6215 0.5621 4.009e+05
2600.0 1000 0.009 0.638 0.013 0.359 0.002016 0.001974 0.001994 8.716e+04 2.756e+04 5.736e+04 1.741 -0.6265 0.5573 4.009e+05
2700.0 1000 0.009 0.637 0.013 0.359 0.002016 0.001974 0.001994 8.681e+04 2.768e+04 5.725e+04 1.736 -0.6315 0.5525 4.009e+05
2800.0 1000 0.009 0.635 0.013 0.360 0.002016 0.001974 0.001994 8.647e+04 2.781e+04 5.714e+04 1.732 -0.6365 0.5477 4.009e+05
